Time [s],delta GENCLS 1,delta GENCLS 2,omega GENCLS 1,omega GENCLS 2,a Bus 1,a Bus 2,a Bus 3,v Bus 1,v Bus 2,v Bus 3,q PV 1,q Slack 1,p Slack 1,Id GENCLS 1,Id GENCLS 2,Iq GENCLS 1,Iq GENCLS 2,vd GENCLS 1,vd GENCLS 2,vq GENCLS 1,vq GENCLS 2,tm GENCLS 1,tm GENCLS 2,te GENCLS 1,te GENCLS 2,vf GENCLS 1,vf GENCLS 2,XadIfd GENCLS 1,XadIfd GENCLS 2,Pe GENCLS 1,Pe GENCLS 2,Qe GENCLS 1,Qe GENCLS 2,psid GENCLS 1,psid GENCLS 2,psiq GENCLS 1,psiq GENCLS 2
3.266666666666664831e+00,5.234150339051842904e-01,-9.140867487423668929e-10,1.000000000000000000e+00,1.000000000000000000e+00,3.194801168434937555e-01,3.349867837798413591e-16,1.842885019467573882e-01,1.030000000000002025e+00,1.000000000000001332e+00,1.004422947485608342e+00,1.441608786052410440e-01,1.549696776607603355e-01,-9.140869289011301912e-01,3.226760900770747620e-01,1.549696784963151830e-01,8.691666442488164002e-01,-9.140869287594732828e-01,2.085999913929552085e-01,-9.140870800018278768e-10,1.008655562415071039e+00,1.000000000000001332e+00,9.440000085957052089e-01,-9.140869289011295251e-01,9.440000085957052089e-01,-9.140869289011295251e-01,1.086097832725235524e+00,1.000000000154970037e+00,1.086097832725235524e+00,1.000000000154970037e+00,9.440000000000000613e-01,-9.140869289011303023e-01,1.441608786052410995e-01,1.549696776607603355e-01,1.008655571106737536e+00,1.000000000000000444e+00,-2.085999946197161226e-01,9.140869250321493528e-10
3.299999999999998046e+00,5.234150339051842904e-01,-9.140867487423668929e-10,1.000000000000000000e+00,1.000000000000000000e+00,3.194801168434937555e-01,3.349867837798413591e-16,1.842885019467573882e-01,1.030000000000002025e+00,1.000000000000001332e+00,1.004422947485608342e+00,1.441608786052410440e-01,1.549696776607603355e-01,-9.140869289011301912e-01,3.226760900770747620e-01,1.549696784963151830e-01,8.691666442488164002e-01,-9.140869287594732828e-01,2.085999913929552085e-01,-9.140870800018278768e-10,1.008655562415071039e+00,1.000000000000001332e+00,9.440000085957052089e-01,-9.140869289011295251e-01,9.440000085957052089e-01,-9.140869289011295251e-01,1.086097832725235524e+00,1.000000000154970037e+00,1.086097832725235524e+00,1.000000000154970037e+00,9.440000000000000613e-01,-9.140869289011303023e-01,1.441608786052410995e-01,1.549696776607603355e-01,1.008655571106737536e+00,1.000000000000000444e+00,-2.085999946197161226e-01,9.140869250321493528e-10
3.333333333333331261e+00,5.234150339051842904e-01,-9.140867487423668929e-10,1.000000000000000000e+00,1.000000000000000000e+00,3.194801168434937555e-01,3.349867837798413591e-16,1.842885019467573882e-01,1.030000000000002025e+00,1.000000000000001332e+00,1.004422947485608342e+00,1.441608786052410440e-01,1.549696776607603355e-01,-9.140869289011301912e-01,3.226760900770747620e-01,1.549696784963151830e-01,8.691666442488164002e-01,-9.140869287594732828e-01,2.085999913929552085e-01,-9.140870800018278768e-10,1.008655562415071039e+00,1.000000000000001332e+00,9.440000085957052089e-01,-9.140869289011295251e-01,9.440000085957052089e-01,-9.140869289011295251e-01,1.086097832725235524e+00,1.000000000154970037e+00,1.086097832725235524e+00,1.000000000154970037e+00,9.440000000000000613e-01,-9.140869289011303023e-01,1.441608786052410995e-01,1.549696776607603355e-01,1.008655571106737536e+00,1.000000000000000444e+00,-2.085999946197161226e-01,9.140869250321493528e-10
3.366666666666664476e+00,5.234150339051842904e-01,-9.140867487423668929e-10,1.000000000000000000e+00,1.000000000000000000e+00,3.194801168434937555e-01,3.349867837798413591e-16,1.842885019467573882e-01,1.030000000000002025e+00,1.000000000000001332e+00,1.004422947485608342e+00,1.441608786052410440e-01,1.549696776607603355e-01,-9.140869289011301912e-01,3.226760900770747620e-01,1.549696784963151830e-01,8.691666442488164002e-01,-9.140869287594732828e-01,2.085999913929552085e-01,-9.140870800018278768e-10,1.008655562415071039e+00,1.000000000000001332e+00,9.440000085957052089e-01,-9.140869289011295251e-01,9.440000085957052089e-01,-9.140869289011295251e-01,1.086097832725235524e+00,1.000000000154970037e+00,1.086097832725235524e+00,1.000000000154970037e+00,9.440000000000000613e-01,-9.140869289011303023e-01,1.441608786052410995e-01,1.549696776607603355e-01,1.008655571106737536e+00,1.000000000000000444e+00,-2.085999946197161226e-01,9.140869250321493528e-10
3.399999999999997691e+00,5.234150339051842904e-01,-9.140867487423668929e-10,1.000000000000000000e+00,1.000000000000000000e+00,3.194801168434937555e-01,3.349867837798413591e-16,1.842885019467573882e-01,1.030000000000002025e+00,1.000000000000001332e+00,1.004422947485608342e+00,1.441608786052410440e-01,1.549696776607603355e-01,-9.140869289011301912e-01,3.226760900770747620e-01,1.549696784963151830e-01,8.691666442488164002e-01,-9.140869287594732828e-01,2.085999913929552085e-01,-9.140870800018278768e-10,1.008655562415071039e+00,1.000000000000001332e+00,9.440000085957052089e-01,-9.140869289011295251e-01,9.440000085957052089e-01,-9.140869289011295251e-01,1.086097832725235524e+00,1.000000000154970037e+00,1.086097832725235524e+00,1.000000000154970037e+00,9.440000000000000613e-01,-9.140869289011303023e-01,1.441608786052410995e-01,1.549696776607603355e-01,1.008655571106737536e+00,1.000000000000000444e+00,-2.085999946197161226e-01,9.140869250321493528e-10
3.433333333333330906e+00,5.234150339051842904e-01,-9.140867487423668929e-10,1.000000000000000000e+00,1.000000000000000000e+00,3.194801168434937555e-01,3.349867837798413591e-16,1.842885019467573882e-01,1.030000000000002025e+00,1.000000000000001332e+00,1.004422947485608342e+00,1.441608786052410440e-01,1.549696776607603355e-01,-9.140869289011301912e-01,3.226760900770747620e-01,1.549696784963151830e-01,8.691666442488164002e-01,-9.140869287594732828e-01,2.085999913929552085e-01,-9.140870800018278768e-10,1.008655562415071039e+00,1.000000000000001332e+00,9.440000085957052089e-01,-9.140869289011295251e-01,9.440000085957052089e-01,-9.140869289011295251e-01,1.086097832725235524e+00,1.000000000154970037e+00,1.086097832725235524e+00,1.000000000154970037e+00,9.440000000000000613e-01,-9.140869289011303023e-01,1.441608786052410995e-01,1.549696776607603355e-01,1.008655571106737536e+00,1.000000000000000444e+00,-2.085999946197161226e-01,9.140869250321493528e-10
3.466666666666664121e+00,5.234150339051842904e-01,-9.140867487423668929e-10,1.000000000000000000e+00,1.000000000000000000e+00,3.194801168434937555e-01,3.349867837798413591e-16,1.842885019467573882e-01,1.030000000000002025e+00,1.000000000000001332e+00,1.004422947485608342e+00,1.441608786052410440e-01,1.549696776607603355e-01,-9.140869289011301912e-01,3.226760900770747620e-01,1.549696784963151830e-01,8.691666442488164002e-01,-9.140869287594732828e-01,2.085999913929552085e-01,-9.140870800018278768e-10,1.008655562415071039e+00,1.000000000000001332e+00,9.440000085957052089e-01,-9.140869289011295251e-01,9.440000085957052089e-01,-9.140869289011295251e-01,1.086097832725235524e+00,1.000000000154970037e+00,1.086097832725235524e+00,1.000000000154970037e+00,9.440000000000000613e-01,-9.140869289011303023e-01,1.441608786052410995e-01,1.549696776607603355e-01,1.008655571106737536e+00,1.000000000000000444e+00,-2.085999946197161226e-01,9.140869250321493528e-10
3.499999999999997335e+00,5.234150339051842904e-01,-9.140867487423668929e-10,1.000000000000000000e+00,1.000000000000000000e+00,3.194801168434937555e-01,3.349867837798413591e-16,1.842885019467573882e-01,1.030000000000002025e+00,1.000000000000001332e+00,1.004422947485608342e+00,1.441608786052410440e-01,1.549696776607603355e-01,-9.140869289011301912e-01,3.226760900770747620e-01,1.549696784963151830e-01,8.691666442488164002e-01,-9.140869287594732828e-01,2.085999913929552085e-01,-9.140870800018278768e-10,1.008655562415071039e+00,1.000000000000001332e+00,9.440000085957052089e-01,-9.140869289011295251e-01,9.440000085957052089e-01,-9.140869289011295251e-01,1.086097832725235524e+00,1.000000000154970037e+00,1.086097832725235524e+00,1.000000000154970037e+00,9.440000000000000613e-01,-9.140869289011303023e-01,1.441608786052410995e-01,1.549696776607603355e-01,1.008655571106737536e+00,1.000000000000000444e+00,-2.085999946197161226e-01,9.140869250321493528e-10
3.533333333333330550e+00,5.234150339051842904e-01,-9.140867487423668929e-10,1.000000000000000000e+00,1.000000000000000000e+00,3.194801168434937555e-01,3.349867837798413591e-16,1.842885019467573882e-01,1.030000000000002025e+00,1.000000000000001332e+00,1.004422947485608342e+00,1.441608786052410440e-01,1.549696776607603355e-01,-9.140869289011301912e-01,3.226760900770747620e-01,1.549696784963151830e-01,8.691666442488164002e-01,-9.140869287594732828e-01,2.085999913929552085e-01,-9.140870800018278768e-10,1.008655562415071039e+00,1.000000000000001332e+00,9.440000085957052089e-01,-9.140869289011295251e-01,9.440000085957052089e-01,-9.140869289011295251e-01,1.086097832725235524e+00,1.000000000154970037e+00,1.086097832725235524e+00,1.000000000154970037e+00,9.440000000000000613e-01,-9.140869289011303023e-01,1.441608786052410995e-01,1.549696776607603355e-01,1.008655571106737536e+00,1.000000000000000444e+00,-2.085999946197161226e-01,9.140869250321493528e-10
3.566666666666663765e+00,5.234150339051842904e-01,-9.140867487423668929e-10,1.000000000000000000e+00,1.000000000000000000e+00,3.194801168434937555e-01,3.349867837798413591e-16,1.842885019467573882e-01,1.030000000000002025e+00,1.000000000000001332e+00,1.004422947485608342e+00,1.441608786052410440e-01,1.549696776607603355e-01,-9.140869289011301912e-01,3.226760900770747620e-01,1.549696784963151830e-01,8.691666442488164002e-01,-9.140869287594732828e-01,2.085999913929552085e-01,-9.140870800018278768e-10,1.008655562415071039e+00,1.000000000000001332e+00,9.440000085957052089e-01,-9.140869289011295251e-01,9.440000085957052089e-01,-9.140869289011295251e-01,1.086097832725235524e+00,1.000000000154970037e+00,1.086097832725235524e+00,1.000000000154970037e+00,9.440000000000000613e-01,-9.140869289011303023e-01,1.441608786052410995e-01,1.549696776607603355e-01,1.008655571106737536e+00,1.000000000000000444e+00,-2.085999946197161226e-01,9.140869250321493528e-10
3.599999999999996980e+00,5.234150339051842904e-01,-9.140867487423668929e-10,1.000000000000000000e+00,1.000000000000000000e+00,3.194801168434937555e-01,3.349867837798413591e-16,1.842885019467573882e-01,1.030000000000002025e+00,1.000000000000001332e+00,1.004422947485608342e+00,1.441608786052410440e-01,1.549696776607603355e-01,-9.140869289011301912e-01,3.226760900770747620e-01,1.549696784963151830e-01,8.691666442488164002e-01,-9.140869287594732828e-01,2.085999913929552085e-01,-9.140870800018278768e-10,1.008655562415071039e+00,1.000000000000001332e+00,9.440000085957052089e-01,-9.140869289011295251e-01,9.440000085957052089e-01,-9.140869289011295251e-01,1.086097832725235524e+00,1.000000000154970037e+00,1.086097832725235524e+00,1.000000000154970037e+00,9.440000000000000613e-01,-9.140869289011303023e-01,1.441608786052410995e-01,1.549696776607603355e-01,1.008655571106737536e+00,1.000000000000000444e+00,-2.085999946197161226e-01,9.140869250321493528e-10
3.633333333333330195e+00,5.234150339051842904e-01,-9.140867487423668929e-10,1.000000000000000000e+00,1.000000000000000000e+00,3.194801168434937555e-01,3.349867837798413591e-16,1.842885019467573882e-01,1.030000000000002025e+00,1.000000000000001332e+00,1.004422947485608342e+00,1.441608786052410440e-01,1.549696776607603355e-01,-9.140869289011301912e-01,3.226760900770747620e-01,1.549696784963151830e-01,8.691666442488164002e-01,-9.140869287594732828e-01,2.085999913929552085e-01,-9.140870800018278768e-10,1.008655562415071039e+00,1.000000000000001332e+00,9.440000085957052089e-01,-9.140869289011295251e-01,9.440000085957052089e-01,-9.140869289011295251e-01,1.086097832725235524e+00,1.000000000154970037e+00,1.086097832725235524e+00,1.000000000154970037e+00,9.440000000000000613e-01,-9.140869289011303023e-01,1.441608786052410995e-01,1.549696776607603355e-01,1.008655571106737536e+00,1.000000000000000444e+00,-2.085999946197161226e-01,9.140869250321493528e-10
3.666666666666663410e+00,5.234150339051842904e-01,-9.140867487423668929e-10,1.000000000000000000e+00,1.000000000000000000e+00,3.194801168434937555e-01,3.349867837798413591e-16,1.842885019467573882e-01,1.030000000000002025e+00,1.000000000000001332e+00,1.004422947485608342e+00,1.441608786052410440e-01,1.549696776607603355e-01,-9.140869289011301912e-01,3.226760900770747620e-01,1.549696784963151830e-01,8.691666442488164002e-01,-9.140869287594732828e-01,2.085999913929552085e-01,-9.140870800018278768e-10,1.008655562415071039e+00,1.000000000000001332e+00,9.440000085957052089e-01,-9.140869289011295251e-01,9.440000085957052089e-01,-9.140869289011295251e-01,1.086097832725235524e+00,1.000000000154970037e+00,1.086097832725235524e+00,1.000000000154970037e+00,9.440000000000000613e-01,-9.140869289011303023e-01,1.441608786052410995e-01,1.549696776607603355e-01,1.008655571106737536e+00,1.000000000000000444e+00,-2.085999946197161226e-01,9.140869250321493528e-10
3.699999999999996625e+00,5.234150339051842904e-01,-9.140867487423668929e-10,1.000000000000000000e+00,1.000000000000000000e+00,3.194801168434937555e-01,3.349867837798413591e-16,1.842885019467573882e-01,1.030000000000002025e+00,1.000000000000001332e+00,1.004422947485608342e+00,1.441608786052410440e-01,1.549696776607603355e-01,-9.140869289011301912e-01,3.226760900770747620e-01,1.549696784963151830e-01,8.691666442488164002e-01,-9.140869287594732828e-01,2.085999913929552085e-01,-9.140870800018278768e-10,1.008655562415071039e+00,1.000000000000001332e+00,9.440000085957052089e-01,-9.140869289011295251e-01,9.440000085957052089e-01,-9.140869289011295251e-01,1.086097832725235524e+00,1.000000000154970037e+00,1.086097832725235524e+00,1.000000000154970037e+00,9.440000000000000613e-01,-9.140869289011303023e-01,1.441608786052410995e-01,1.549696776607603355e-01,1.008655571106737536e+00,1.000000000000000444e+00,-2.085999946197161226e-01,9.140869250321493528e-10
3.733333333333329840e+00,5.234150339051842904e-01,-9.140867487423668929e-10,1.000000000000000000e+00,1.000000000000000000e+00,3.194801168434937555e-01,3.349867837798413591e-16,1.842885019467573882e-01,1.030000000000002025e+00,1.000000000000001332e+00,1.004422947485608342e+00,1.441608786052410440e-01,1.549696776607603355e-01,-9.140869289011301912e-01,3.226760900770747620e-01,1.549696784963151830e-01,8.691666442488164002e-01,-9.140869287594732828e-01,2.085999913929552085e-01,-9.140870800018278768e-10,1.008655562415071039e+00,1.000000000000001332e+00,9.440000085957052089e-01,-9.140869289011295251e-01,9.440000085957052089e-01,-9.140869289011295251e-01,1.086097832725235524e+00,1.000000000154970037e+00,1.086097832725235524e+00,1.000000000154970037e+00,9.440000000000000613e-01,-9.140869289011303023e-01,1.441608786052410995e-01,1.549696776607603355e-01,1.008655571106737536e+00,1.000000000000000444e+00,-2.085999946197161226e-01,9.140869250321493528e-10
3.766666666666663055e+00,5.234150339051842904e-01,-9.140867487423668929e-10,1.000000000000000000e+00,1.000000000000000000e+00,3.194801168434937555e-01,3.349867837798413591e-16,1.842885019467573882e-01,1.030000000000002025e+00,1.000000000000001332e+00,1.004422947485608342e+00,1.441608786052410440e-01,1.549696776607603355e-01,-9.140869289011301912e-01,3.226760900770747620e-01,1.549696784963151830e-01,8.691666442488164002e-01,-9.140869287594732828e-01,2.085999913929552085e-01,-9.140870800018278768e-10,1.008655562415071039e+00,1.000000000000001332e+00,9.440000085957052089e-01,-9.140869289011295251e-01,9.440000085957052089e-01,-9.140869289011295251e-01,1.086097832725235524e+00,1.000000000154970037e+00,1.086097832725235524e+00,1.000000000154970037e+00,9.440000000000000613e-01,-9.140869289011303023e-01,1.441608786052410995e-01,1.549696776607603355e-01,1.008655571106737536e+00,1.000000000000000444e+00,-2.085999946197161226e-01,9.140869250321493528e-10
3.799999999999996270e+00,5.234150339051842904e-01,-9.140867487423668929e-10,1.000000000000000000e+00,1.000000000000000000e+00,3.194801168434937555e-01,3.349867837798413591e-16,1.842885019467573882e-01,1.030000000000002025e+00,1.000000000000001332e+00,1.004422947485608342e+00,1.441608786052410440e-01,1.549696776607603355e-01,-9.140869289011301912e-01,3.226760900770747620e-01,1.549696784963151830e-01,8.691666442488164002e-01,-9.140869287594732828e-01,2.085999913929552085e-01,-9.140870800018278768e-10,1.008655562415071039e+00,1.000000000000001332e+00,9.440000085957052089e-01,-9.140869289011295251e-01,9.440000085957052089e-01,-9.140869289011295251e-01,1.086097832725235524e+00,1.000000000154970037e+00,1.086097832725235524e+00,1.000000000154970037e+00,9.440000000000000613e-01,-9.140869289011303023e-01,1.441608786052410995e-01,1.549696776607603355e-01,1.008655571106737536e+00,1.000000000000000444e+00,-2.085999946197161226e-01,9.140869250321493528e-10
3.833333333333329485e+00,5.234150339051842904e-01,-9.140867487423668929e-10,1.000000000000000000e+00,1.000000000000000000e+00,3.194801168434937555e-01,3.349867837798413591e-16,1.842885019467573882e-01,1.030000000000002025e+00,1.000000000000001332e+00,1.004422947485608342e+00,1.441608786052410440e-01,1.549696776607603355e-01,-9.140869289011301912e-01,3.226760900770747620e-01,1.549696784963151830e-01,8.691666442488164002e-01,-9.140869287594732828e-01,2.085999913929552085e-01,-9.140870800018278768e-10,1.008655562415071039e+00,1.000000000000001332e+00,9.440000085957052089e-01,-9.140869289011295251e-01,9.440000085957052089e-01,-9.140869289011295251e-01,1.086097832725235524e+00,1.000000000154970037e+00,1.086097832725235524e+00,1.000000000154970037e+00,9.440000000000000613e-01,-9.140869289011303023e-01,1.441608786052410995e-01,1.549696776607603355e-01,1.008655571106737536e+00,1.000000000000000444e+00,-2.085999946197161226e-01,9.140869250321493528e-10
